"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"When sector return == required growth → accel ratio = 1 → full accel points.","1","test_sector_return_exactly_equals_required_growth","backend.newtestone","2026-02-27","passed","2026-02-27","TestSmartBuyScoringEdgeCases","test_edge_cases","",""
"","0","test_hhi_equal_weights_4_stocks","backend.newtestone","2026-02-27","passed","2026-02-27","TestCurrencyPrecisionEdgeCases","test_edge_cases","",""
"","0","test_total_value_quantity_zero","backend.newtestone","2026-02-27","passed","2026-02-27","TestTransactionEdgeCases","test_edge_cases","",""
"February 29 in a real leap year should be a valid date.","0","test_leap_year_2028_feb_29_valid","backend.newtestone","2026-02-27","passed","2026-02-27","TestDateEdgeCases","test_edge_cases","",""
"","1","test_empty_holdings_total_zero","backend.newtestone","2026-02-27","passed","2026-02-27","TestPortfolioEdgeCases","test_edge_cases","",""
"","0","test_moderate_includes_midcaps","backend.newtestone","2026-02-27","passed","2026-02-27","TestSmartBuyRiskUniverseEdgeCases","test_edge_cases","",""
"","1","test_micro_amounts_dont_vanish","backend.newtestone","2026-02-27","passed","2026-02-27","TestCurrencyPrecisionEdgeCases","test_edge_cases","",""
"Average price does not change when partial shares are sold.","0","test_weighted_avg_unchanged_after_sell","backend.newtestone","2026-02-27","passed","2026-02-27","TestTransactionEdgeCases","test_edge_cases","",""
"","0","test_hhi_monopoly","backend.newtestone","2026-02-27","passed","2026-02-27","TestCurrencyPrecisionEdgeCases","test_edge_cases","",""
"","1","test_drawdown_uptrend_is_zero","backend.newtestone","2026-02-27","passed","2026-02-27","TestCalculationEdgeCases","test_edge_cases","",""
"Unknown risk is treated as index 1 (moderate tier).","0","test_invalid_risk_treated_as_moderate_index","backend.newtestone","2026-02-27","passed","2026-02-27","TestFeasibilityOptionEdgeCases","test_edge_cases","",""
"","0","test_negative_remaining_after_oversell","backend.newtestone","2026-02-27","passed","2026-02-27","TestTransactionEdgeCases","test_edge_cases","",""
"","0","test_negative_50_pct_buffer_halves_target_value","backend.newtestone","2026-02-27","passed","2026-02-27","TestFeasibilityBufferEdgeCases","test_edge_cases","",""
"","1","test_100_pct_buffer_doubles_target_value","backend.newtestone","2026-02-27","passed","2026-02-27","TestFeasibilityBufferEdgeCases","test_edge_cases","",""
"","1","test_high_risk_exactly_2yr_feasible","backend.newtestone","2026-02-27","passed","2026-02-27","TestFeasibilityRiskTransitionEdgeCases","test_edge_cases","",""
"","1","test_moderate_upgrades_to_high","backend.newtestone","2026-02-27","passed","2026-02-27","TestFeasibilityOptionEdgeCases","test_edge_cases","",""
"","0","test_half_cap_score_between_clean_and_full_cap","backend.newtestone","2026-02-27","passed","2026-02-27","TestSmartBuyScoringEdgeCases","test_edge_cases","",""
"","0","test_200_pct_buffer_triples_target_value","backend.newtestone","2026-02-27","passed","2026-02-27","TestFeasibilityBufferEdgeCases","test_edge_cases","",""
"","0","test_zero_price_holding_contributes_zero","backend.newtestone","2026-02-27","passed","2026-02-27","TestPortfolioEdgeCases","test_edge_cases","",""
"","1","test_single_sector_limited_to_cap","backend.newtestone","2026-02-27","passed","2026-02-27","TestSmartBuySectorCapEdgeCases","test_edge_cases","",""
"","1","test_timedelta_negative_days_produces_past","backend.newtestone","2026-02-27","passed","2026-02-27","TestDateEdgeCases","test_edge_cases","",""
"A dip exactly equal to DIP_THRESHOLD (-3%) gives 0 dip score.","2","test_dip_exactly_at_threshold_gives_zero_dip_score","backend.newtestone","2026-02-27","passed","2026-02-27","TestSmartBuyScoringEdgeCases","test_edge_cases","",""
"","1","test_high_concentration_detected","backend.newtestone","2026-02-27","passed","2026-02-27","TestPortfolioEdgeCases","test_edge_cases","",""
"","1","test_single_holding_100_pct_weight","backend.newtestone","2026-02-27","passed","2026-02-27","TestPortfolioEdgeCases","test_edge_cases","",""
"","1","test_division_by_zero_guard","backend.newtestone","2026-02-27","passed","2026-02-27","TestPortfolioEdgeCases","test_edge_cases","",""
"","1","test_high_has_no_upgrade","backend.newtestone","2026-02-27","passed","2026-02-27","TestFeasibilityOptionEdgeCases","test_edge_cases","",""
"","0","test_low_upgrades_to_moderate","backend.newtestone","2026-02-27","passed","2026-02-27","TestFeasibilityOptionEdgeCases","test_edge_cases","",""
"","0","test_complete_loss_is_100_pct","backend.newtestone","2026-02-27","passed","2026-02-27","TestCalculationEdgeCases","test_edge_cases","",""
"","0","test_fewer_candidates_than_n","backend.newtestone","2026-02-27","passed","2026-02-27","TestSmartBuySectorCapEdgeCases","test_edge_cases","",""
"Impossible summary should mention the short timeline.","0","test_summary_contains_days_for_impossible_timeline","backend.newtestone","2026-02-27","passed","2026-02-27","TestFeasibilityBoundaryDays","test_edge_cases","",""
"","14","test_zero_target_zero_result","backend.newtestone","2026-02-27","passed","2026-02-27","TestGoalModelEdgeCases","test_edge_cases","",""
"Below MIN_DAYS is always impossible, regardless of target size.","1","test_29_days_always_impossible","backend.newtestone","2026-02-27","passed","2026-02-27","TestFeasibilityBoundaryDays","test_edge_cases","",""
"","0","test_100_pct_buffer","backend.newtestone","2026-02-27","passed","2026-02-27","TestGoalModelEdgeCases","test_edge_cases","",""
"","0","test_sell_all_leaves_zero_position","backend.newtestone","2026-02-27","passed","2026-02-27","TestTransactionEdgeCases","test_edge_cases","",""
"","1","test_negative_buffer_reduces_target","backend.newtestone","2026-02-27","passed","2026-02-27","TestGoalModelEdgeCases","test_edge_cases","",""
"","1","test_not_a_leap_year_no_feb_29","backend.newtestone","2026-02-27","passed","2026-02-27","TestDateEdgeCases","test_edge_cases","",""
"","0","test_weighted_avg_three_batches","backend.newtestone","2026-02-27","passed","2026-02-27","TestCalculationEdgeCases","test_edge_cases","",""
"","0","test_low_risk_excludes_midcaps","backend.newtestone","2026-02-27","passed","2026-02-27","TestSmartBuyRiskUniverseEdgeCases","test_edge_cases","",""
"","0","test_large_quantity_small_price_total_accurate","backend.newtestone","2026-02-27","passed","2026-02-27","TestTransactionEdgeCases","test_edge_cases","",""
"","2","test_far_future_deadline_accepted_by_validate_goal","backend.newtestone","2026-02-27","passed","2026-02-27","TestDateEdgeCases","test_edge_cases","",""
"","0","test_floating_point_subtraction_near_zero","backend.newtestone","2026-02-27","passed","2026-02-27","TestCurrencyPrecisionEdgeCases","test_edge_cases","",""
"","0","test_100_holdings_total_correct","backend.newtestone","2026-02-27","passed","2026-02-27","TestPortfolioEdgeCases","test_edge_cases","",""
"","0","test_drawdown_crash_30_pct","backend.newtestone","2026-02-27","passed","2026-02-27","TestCalculationEdgeCases","test_edge_cases","",""
"At exactly MIN_DAYS with a tiny goal → feasible (scale check).","1434","test_exactly_30_days_not_flagged_impossible_for_high_risk","backend.newtestone","2026-02-27","passed","2026-02-27","TestFeasibilityBoundaryDays","test_edge_cases","",""
