"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test portfolio value with extremely large numbers.","0","test_very_large_portfolio_value","tests","2026-02-26","passed","2026-02-26","TestExtremeValues","test_edge_cases","",""
"Test handling of February 29.","0","test_leap_day_handling","tests","2026-02-26","failed","2026-02-26","TestDateEdgeCases","test_edge_cases","",""
"Test portfolio value with extremely small numbers.","0","test_very_small_portfolio_value","tests","2026-02-26","passed","2026-02-26","TestExtremeValues","test_edge_cases","",""
"Test handling of micro-amounts.","0","test_micro_amount_handling","tests","2026-02-26","passed","2026-02-26","TestExtremeValues","test_edge_cases","",""
"Test holdings with zero value.","1","test_zero_weight_holdings","tests","2026-02-26","passed","2026-02-26","TestPortfolioRebalancingEdgeCases","test_edge_cases","",""
"Test handling of zero target value.","9","test_zero_target_value_handling","tests","2026-02-26","passed","2026-02-26","TestZeroAndNegativeValues","test_edge_cases","",""
"Test selling more than owned - should not be allowed.","0","test_sell_more_than_owned","tests","2026-02-26","passed","2026-02-26","TestConcurrentTransactions","test_edge_cases","",""
"Test with maximum integer quantity.","0","test_max_quantity_holding","tests","2026-02-26","passed","2026-02-26","TestExtremeValues","test_edge_cases","",""
"Test complete loss scenario.","1","test_complete_portfolio_loss","tests","2026-02-26","passed","2026-02-26","TestStressScenarios","test_edge_cases","",""
"Test high concentration risk detection.","1","test_high_concentration_risk","tests","2026-02-26","passed","2026-02-26","TestPortfolioRebalancingEdgeCases","test_edge_cases","",""
"Test holdings without associated goal.","0","test_orphaned_holdings","tests","2026-02-26","passed","2026-02-26","TestDataIntegrity","test_edge_cases","",""
"Test handling duplicate symbols in list.","0","test_duplicate_symbols","tests","2026-02-26","passed","2026-02-26","TestMarketDataEdgeCases","test_edge_cases","",""
"Test portfolio value with zero invested.","2","test_zero_invested_portfolio_value","tests","2026-02-26","passed","2026-02-26","TestZeroAndNegativeValues","test_edge_cases","",""
"Test transaction with very old date.","1008","test_transaction_date_far_past","tests","2026-02-26","passed","2026-02-26","TestDateEdgeCases","test_edge_cases","",""
"Test portfolio value calculation for empty goal.","1","test_portfolio_value_empty_goal","tests","2026-02-26","passed","2026-02-26","TestEmptyPortfolio","test_edge_cases","",""
"Test very small price variations.","0","test_small_price_variation","tests","2026-02-26","passed","2026-02-26","TestCurrencyAndPrecision","test_edge_cases","",""
"Test rupee/paise rounding.","1","test_paise_rounding","tests","2026-02-26","passed","2026-02-26","TestCurrencyAndPrecision","test_edge_cases","",""
"Test portfolio under market crash.","0","test_market_crash_simulation","tests","2026-02-26","passed","2026-02-26","TestStressScenarios","test_edge_cases","",""
"Test zero division handling.","0","test_zero_division_handling","tests","2026-02-26","passed","2026-02-26","TestCurrencyAndPrecision","test_edge_cases","",""
"Test goal with today's deadline.","2","test_deadline_today","tests","2026-02-26","passed","2026-02-26","TestDateEdgeCases","test_edge_cases","",""
"Test goal with yesterday's deadline.","0","test_deadline_yesterday","tests","2026-02-26","passed","2026-02-26","TestDateEdgeCases","test_edge_cases","",""
"Test infinite growth rate calculation.","0","test_infinite_growth_rate","tests","2026-02-26","passed","2026-02-26","TestCurrencyAndPrecision","test_edge_cases","",""
"Test portfolio with single holding.","0","test_single_holding_portfolio","tests","2026-02-26","passed","2026-02-26","TestPortfolioRebalancingEdgeCases","test_edge_cases","",""
"Test transaction for stock not in holdings.","0","test_transaction_without_holding","tests","2026-02-26","passed","2026-02-26","TestDataIntegrity","test_edge_cases","",""
"Test goal with 100% profit buffer.","1","test_100_percent_profit_buffer","tests","2026-02-26","passed","2026-02-26","TestZeroAndNegativeValues","test_edge_cases","",""
"Test transaction with today's date.","1","test_transaction_date_today","tests","2026-02-26","passed","2026-02-26","TestDateEdgeCases","test_edge_cases","",""
"Test risk metrics calculation for empty portfolio.","2","test_risk_metrics_empty_portfolio","tests","2026-02-26","passed","2026-02-26","TestEmptyPortfolio","test_edge_cases","",""
"Test buy then sell of same stock.","0","test_buy_then_sell_same_stock","tests","2026-02-26","passed","2026-02-26","TestConcurrentTransactions","test_edge_cases","",""
"Test percentage calculation precision.","0","test_percentage_calculation_precision","tests","2026-02-26","passed","2026-02-26","TestCurrencyAndPrecision","test_edge_cases","",""
"Test perfectly balanced portfolio.","1","test_perfectly_balanced_portfolio","tests","2026-02-26","passed","2026-02-26","TestPortfolioRebalancingEdgeCases","test_edge_cases","",""
"Test handling of missing price data.","0","test_missing_price_data","tests","2026-02-26","passed","2026-02-26","TestMarketDataEdgeCases","test_edge_cases","",""
"Test holding with zero quantity.","0","test_zero_quantity_holding","tests","2026-02-26","passed","2026-02-26","TestZeroAndNegativeValues","test_edge_cases","",""
"Test handling of invalid date ranges.","0","test_invalid_date_range","tests","2026-02-26","passed","2026-02-26","TestMarketDataEdgeCases","test_edge_cases","",""
"Test handling of negative holding quantity.","1","test_negative_holding_quantity","tests","2026-02-26","passed","2026-02-26","TestDataIntegrity","test_edge_cases","",""
"Test dates around year boundaries.","1","test_year_boundary","tests","2026-02-26","passed","2026-02-26","TestDateEdgeCases","test_edge_cases","",""
"Test handling of stale cache.","0","test_stale_cache_handling","tests","2026-02-26","passed","2026-02-26","TestMarketDataEdgeCases","test_edge_cases","",""
"Test getting holdings when goal has none.","1278","test_get_holdings_empty_goal","tests","2026-02-26","passed","2026-02-26","TestEmptyPortfolio","test_edge_cases","",""
"Test goal with negative profit buffer.","0","test_negative_profit_buffer","tests","2026-02-26","passed","2026-02-26","TestZeroAndNegativeValues","test_edge_cases","",""
"Test calculations with fractional share-like values.","0","test_fractional_shares_simulation","tests","2026-02-26","passed","2026-02-26","TestExtremeValues","test_edge_cases","",""
"Test duplicate transaction detection.","1","test_duplicate_transactions","tests","2026-02-26","failed","2026-02-26","TestDataIntegrity","test_edge_cases","",""
